# MEAN_SAMPLE_SIZE = 27148
# TOTAL_GENES = 17630
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE                               TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
GOBP_ACTIVATION_OF_IMMUNE_RE...         SET     293      0.27434     0.035073     0.060543   2.9519e-06 GOBP_ACTIVATION_OF_IMMUNE_RESPONSE
GOBP_ACTIVATION_OF_INNATE_IM...         SET      54      0.10353    0.0057211      0.13794      0.22648 GOBP_ACTIVATION_OF_INNATE_IMMUNE_RESPONSE
GOBP_ADAPTIVE_IMMUNE_RESPONSE           SET     422      0.39935     0.061043     0.052218   1.0815e-14 GOBP_ADAPTIVE_IMMUNE_RESPONSE
GOBP_ADAPTIVE_IMMUNE_RESPONS...         SET     279      0.44497     0.055533     0.062216   4.4658e-13 GOBP_ADAPTIVE_IMMUNE_RESPONSE_BASED_ON_SOMATIC_RECOMBINATION_OF_IMMUNE_RECEPTORS_BUILT_FROM_IMMUNOGLOBULIN_SUPERFAMILY_DOMAINS
GOBP_AMINE_TRANSPORT                    SET      97     -0.11629   -0.0086021      0.10923      0.85647 GOBP_AMINE_TRANSPORT
GOBP_AMMONIUM_ION_METABOLIC_...         SET      23    -0.073575   -0.0026558      0.21874       0.6317 GOBP_AMMONIUM_ION_METABOLIC_PROCESS
GOBP_ANTIGEN_PROCESSING_AND_...1        SET      99      0.36313     0.027136      0.10843   0.00040622 GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION
GOBP_ANTIGEN_PROCESSING_AND_...2        SET      25      0.26063    0.0098079      0.21686      0.11472 GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_ENDOGENOUS_ANTIGEN
GOBP_ANTIGEN_PROCESSING_AND_...3        SET      44      0.60316     0.030096      0.16737   0.00015729 GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_ANTIGEN
GOBP_ANTIGEN_PROCESSING_AND_...4        SET      35      0.69203     0.030804      0.18191   7.1418e-05 GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_PEPTIDE_ANTIGEN
GOBP_ANTIGEN_PROCESSING_AND_...5        SET      27      0.88822     0.034734      0.22083   2.8955e-05 GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_PEPTIDE_ANTIGEN_VIA_MHC_CLASS_II
GOBP_ANTIGEN_PROCESSING_AND_...6        SET      57      0.47194     0.026792      0.14175    0.0004363 GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_ANTIGEN
GOBP_ANTIGEN_PROCESSING_AND_...7        SET      28      0.30087     0.011981      0.18369     0.050732 GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_ANTIGEN_VIA_MHC_CLASS_I
GOBP_ANTIGEN_PROCESSING_AND_...8        SET      31      0.63749     0.026709      0.20014   0.00072441 GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_OR_POLYSACCHARIDE_ANTIGEN_VIA_MHC_CLASS_II
GOBP_ANTIGEN_PROCESSING_AND_...9        SET      13      0.41574     0.011285      0.29439     0.078953 GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_VIA_MHC_CLASS_IB
GOBP_ATP_BIOSYNTHETIC_PROCESS           SET      29      0.21039     0.008526      0.18319      0.12539 GOBP_ATP_BIOSYNTHETIC_PROCESS
GOBP_ATP_METABOLIC_PROCESS              SET     228      0.11543     0.013042     0.064777     0.037394 GOBP_ATP_METABOLIC_PROCESS
GOBP_AXONAL_TRANSPORT                   SET      63      0.26608     0.015878      0.11928     0.012858 GOBP_AXONAL_TRANSPORT
GOBP_BONE_RESORPTION                    SET      62      0.01037   0.00061387      0.13463       0.4693 GOBP_BONE_RESORPTION
GOBP_B_CELL_ACTIVATION                  SET     251      0.34764     0.041185     0.065832   6.5178e-08 GOBP_B_CELL_ACTIVATION
GOBP_B_CELL_MEDIATED_IMMUNITY           SET     134       0.3977     0.034541     0.087869   3.0266e-06 GOBP_B_CELL_MEDIATED_IMMUNITY
GOBP_B_CELL_PROLIFERATION               SET      98      0.47741     0.035496      0.11153   9.3741e-06 GOBP_B_CELL_PROLIFERATION
GOBP_CARDIAC_ATRIUM_DEVELOPM...         SET      35      0.04895    0.0021789      0.18666      0.39657 GOBP_CARDIAC_ATRIUM_DEVELOPMENT
GOBP_CATECHOLAMINE_SECRETION            SET      55    -0.035478   -0.0019785      0.14422      0.59715 GOBP_CATECHOLAMINE_SECRETION
GOBP_CELLULAR_COMPONENT_DISA...         SET     434     0.045823    0.0071007     0.046304      0.16119 GOBP_CELLULAR_COMPONENT_DISASSEMBLY
GOBP_CELLULAR_RESPIRATION               SET     191      0.12746     0.013195     0.071272     0.036867 GOBP_CELLULAR_RESPIRATION
GOBP_CELLULAR_RESPONSE_TO_IN...         SET      21      0.23125    0.0079767      0.23796      0.16558 GOBP_CELLULAR_RESPONSE_TO_INTERFERON_BETA
GOBP_CELLULAR_RESPONSE_TO_VI...         SET      69      0.17814     0.011123      0.12319     0.074096 GOBP_CELLULAR_RESPONSE_TO_VIRUS
GOBP_CELL_ACTIVATION_INVOLVE...         SET     279      0.29852     0.037256     0.061497   6.1039e-07 GOBP_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE
GOBP_CELL_JUNCTION_DISASSEMB...         SET      21     0.035031    0.0012084      0.25552      0.44548 GOBP_CELL_JUNCTION_DISASSEMBLY
GOBP_CELL_KILLING                       SET     174      0.35011      0.03461     0.077944   3.5565e-06 GOBP_CELL_KILLING
GOBP_CENTROSOME_DUPLICATION             SET      73     0.025798    0.0016567      0.11016      0.40742 GOBP_CENTROSOME_DUPLICATION
GOBP_CHAPERONE_COFACTOR_DEPE...         SET      30     -0.16149   -0.0066562      0.14984      0.85941 GOBP_CHAPERONE_COFACTOR_DEPENDENT_PROTEIN_REFOLDING
GOBP_CHAPERONE_MEDIATED_PROT...         SET      68    -0.070171   -0.0043497      0.10715      0.74373 GOBP_CHAPERONE_MEDIATED_PROTEIN_FOLDING
GOBP_CILIUM_MOVEMENT                    SET     159    -0.080657   -0.0076253     0.076528      0.85404 GOBP_CILIUM_MOVEMENT
GOBP_CILIUM_OR_FLAGELLUM_DEP...         SET     135    -0.065077   -0.0056729      0.08482      0.77852 GOBP_CILIUM_OR_FLAGELLUM_DEPENDENT_CELL_MOTILITY
GOBP_CYTOKINE_MEDIATED_SIGNA...         SET     450      0.29058      0.04583     0.050909   5.8215e-09 GOBP_CYTOKINE_MEDIATED_SIGNALING_PATHWAY
GOBP_CYTOKINE_PRODUCTION_INV...         SET      99      0.31008     0.023172      0.10271    0.0012702 GOBP_CYTOKINE_PRODUCTION_INVOLVED_IN_IMMUNE_RESPONSE
GOBP_CYTOPLASMIC_TRANSLATION            SET     143    -0.040504   -0.0036332     0.079739      0.69426 GOBP_CYTOPLASMIC_TRANSLATION
GOBP_DEFENSE_RESPONSE_TO_BAC...         SET     256       0.1469     0.017573     0.066632     0.013748 GOBP_DEFENSE_RESPONSE_TO_BACTERIUM
GOBP_DEFENSE_RESPONSE_TO_GRA...         SET      85       0.1183    0.0081946      0.11127      0.14386 GOBP_DEFENSE_RESPONSE_TO_GRAM_POSITIVE_BACTERIUM
GOBP_DEFENSE_RESPONSE_TO_SYM...         SET     274      0.21275     0.026316     0.064461   0.00048387 GOBP_DEFENSE_RESPONSE_TO_SYMBIONT
GOBP_DENDRITIC_CELL_DIFFEREN...         SET      48      0.16965    0.0088406      0.14852      0.12668 GOBP_DENDRITIC_CELL_DIFFERENTIATION
GOBP_DETECTION_OF_BIOTIC_STI...         SET      36      0.16784    0.0075767      0.17738      0.17204 GOBP_DETECTION_OF_BIOTIC_STIMULUS
GOBP_DETECTION_OF_EXTERNAL_B...         SET      24      0.25705    0.0094778       0.2086      0.10894 GOBP_DETECTION_OF_EXTERNAL_BIOTIC_STIMULUS
GOBP_DETECTION_OF_MOLECULE_O...         SET      12      0.54605     0.014242      0.29845     0.033663 GOBP_DETECTION_OF_MOLECULE_OF_BACTERIAL_ORIGIN
GOBP_DETECTION_OF_OTHER_ORGA...         SET      19     0.016007   0.00052523      0.23671      0.47304 GOBP_DETECTION_OF_OTHER_ORGANISM
