




Analysis Type:	PANTHER Overrepresentation Test (Released 20231017)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.7942786 Released 2023-01-05
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO cellular component complete	Homo sapiens - REFLIST (20592)	upload_1 (82)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
core TFIIH complex portion of holo TFIIH complex (GO:0000438)	3	2	.01	+	 > 100	1.54E-04	8.49E-03
transcription factor TFIIH core complex (GO:0000439)	11	4	.04	+	91.32	3.03E-07	4.62E-05
uniplex complex (GO:1990246)	6	2	.02	+	83.71	4.28E-04	2.07E-02
transcription factor TFIIH holo complex (GO:0005675)	12	4	.05	+	83.71	4.03E-07	5.33E-05
carboxy-terminal domain protein kinase complex (GO:0032806)	18	4	.07	+	55.80	1.59E-06	1.50E-04
nucleolar exosome (RNase complex) (GO:0101019)	10	2	.04	+	50.22	1.00E-03	3.74E-02
U4 snRNP (GO:0005687)	11	2	.04	+	45.66	1.18E-03	4.17E-02
nuclear exosome (RNase complex) (GO:0000176)	12	2	.05	+	41.85	1.37E-03	4.45E-02
transcription factor TFIID complex (GO:0005669)	35	5	.14	+	35.87	5.12E-07	6.34E-05
U2-type catalytic step 2 spliceosome (GO:0071007)	30	3	.12	+	25.11	3.01E-04	1.49E-02
respiratory chain complex I (GO:0045271)	49	4	.20	+	20.50	5.81E-05	3.71E-03
NADH dehydrogenase complex (GO:0030964)	49	4	.20	+	20.50	5.81E-05	3.59E-03
mitochondrial respiratory chain complex I (GO:0005747)	49	4	.20	+	20.50	5.81E-05	3.49E-03
RNA polymerase II, holoenzyme (GO:0016591)	78	6	.31	+	19.32	1.03E-06	1.13E-04
nuclear DNA-directed RNA polymerase complex (GO:0055029)	102	6	.41	+	14.77	4.48E-06	3.29E-04
DNA-directed RNA polymerase complex (GO:0000428)	105	6	.42	+	14.35	5.25E-06	3.72E-04
RNA polymerase complex (GO:0030880)	108	6	.43	+	13.95	6.13E-06	4.19E-04
serine/threonine protein kinase complex (GO:1902554)	131	7	.52	+	13.42	1.27E-06	1.32E-04
mitochondrial intermembrane space (GO:0005758)	86	4	.34	+	11.68	4.53E-04	2.14E-02
protein kinase complex (GO:1902911)	151	7	.60	+	11.64	3.13E-06	2.70E-04
respiratory chain complex (GO:0098803)	88	4	.35	+	11.41	4.93E-04	2.12E-02
inner mitochondrial membrane protein complex (GO:0098800)	155	7	.62	+	11.34	3.70E-06	2.82E-04
mitochondrial respirasome (GO:0005746)	91	4	.36	+	11.04	5.56E-04	2.30E-02
organelle envelope lumen (GO:0031970)	96	4	.38	+	10.46	6.75E-04	2.73E-02
respirasome (GO:0070469)	99	4	.39	+	10.15	7.54E-04	2.87E-02
brush border (GO:0005903)	109	4	.43	+	9.22	1.07E-03	3.91E-02
mitochondrial protein-containing complex (GO:0098798)	297	10	1.18	+	8.46	3.75E-07	5.30E-05
