




Analysis Type:	PANTHER Overrepresentation Test (Released 20230705)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.7942786 Released 2023-05-10
Analyzed List:	upload_1 (Mus musculus)
Reference List:	Mus musculus (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Mus musculus - REFLIST (21997)	upload_1 (176)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
positive regulation of telomerase RNA reverse transcriptase activity (GO:1905663)	2	2	.02	+	 > 100	3.72E-04	3.56E-02
positive regulation of RNA export from nucleus (GO:0046833)	4	3	.03	+	93.74	1.68E-05	2.29E-03
translation at presynapse (GO:0140236)	47	35	.38	+	93.07	1.12E-52	2.19E-49
translation at postsynapse (GO:0140242)	48	35	.38	+	91.13	1.92E-52	3.35E-49
translation at synapse (GO:0140241)	48	35	.38	+	91.13	1.92E-52	3.02E-49
viral translational termination-reinitiation (GO:0075525)	5	3	.04	+	74.99	2.67E-05	3.49E-03
positive regulation of nucleobase-containing compound transport (GO:0032241)	5	3	.04	+	74.99	2.67E-05	3.46E-03
cytoplasmic translation (GO:0002181)	113	57	.90	+	63.04	3.26E-79	5.11E-75
CRD-mediated mRNA stabilization (GO:0070934)	10	4	.08	+	49.99	3.61E-06	5.55E-04
negative regulation of ubiquitin protein ligase activity (GO:1904667)	10	4	.08	+	49.99	3.61E-06	5.49E-04
ribosomal small subunit assembly (GO:0000028)	19	7	.15	+	46.05	1.02E-09	2.76E-07
negative regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay (GO:1900152)	11	4	.09	+	45.45	4.89E-06	7.37E-04
alternative mRNA splicing, via spliceosome (GO:0000380)	23	8	.18	+	43.47	9.07E-11	2.54E-08
positive regulation of intrinsic apoptotic signaling pathway by p53 class mediator (GO:1902255)	10	3	.08	+	37.49	1.33E-04	1.45E-02
positive regulation of cytoplasmic translation (GO:2000767)	14	4	.11	+	35.71	1.08E-05	1.53E-03
IRES-dependent viral translational initiation (GO:0075522)	11	3	.09	+	34.09	1.68E-04	1.78E-02
primary miRNA processing (GO:0031053)	11	3	.09	+	34.09	1.68E-04	1.77E-02
negative regulation of RNA splicing (GO:0033119)	28	7	.22	+	31.25	9.82E-09	2.41E-06
viral translation (GO:0019081)	16	4	.13	+	31.25	1.68E-05	2.27E-03
protein refolding (GO:0042026)	21	5	.17	+	29.76	1.71E-06	2.88E-04
regulation of RNA export from nucleus (GO:0046831)	13	3	.10	+	28.84	2.55E-04	2.60E-02
regulation of ubiquitin protein ligase activity (GO:1904666)	22	5	.18	+	28.41	2.09E-06	3.41E-04
ribosomal small subunit biogenesis (GO:0042274)	101	22	.81	+	27.22	9.31E-24	3.74E-21
viral gene expression (GO:0019080)	23	5	.18	+	27.17	2.52E-06	4.04E-04
negative regulation of mRNA splicing, via spliceosome (GO:0048025)	23	5	.18	+	27.17	2.52E-06	3.99E-04
negative regulation of mRNA processing (GO:0050686)	24	5	.19	+	26.04	3.03E-06	4.70E-04
negative regulation of ubiquitin-protein transferase activity (GO:0051444)	21	4	.17	+	23.81	4.26E-05	5.26E-03
regulation of nucleobase-containing compound transport (GO:0032239)	16	3	.13	+	23.43	4.34E-04	4.07E-02
ribosome assembly (GO:0042255)	61	11	.49	+	22.54	1.14E-11	3.26E-09
ATP transport (GO:0015867)	17	3	.14	+	22.06	5.07E-04	4.65E-02
3'-UTR-mediated mRNA destabilization (GO:0061158)	17	3	.14	+	22.06	5.07E-04	4.62E-02
translation (GO:0006412)	376	66	3.01	+	21.94	1.40E-66	5.48E-63
regulation of cytoplasmic translation (GO:2000765)	30	5	.24	+	20.83	7.97E-06	1.17E-03
