GENE_ID	ENSID	GENE_NAME	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000005198	ENSG00000181222	Polr2a	5268.1585	0.593848885	0.03975904	14.93619778	1.916E-50	3.14224E-46
ENSMUSG00000031314	ENSG00000147133	Taf1	2700.86398	-1.205205114	0.085968712	-14.01911331	1.19093E-44	9.76565E-41
ENSMUSG00000051617	ENSG00000171403	Krt9	1168.799144	-0.822137751	0.065198453	-12.60977386	1.86527E-36	1.01968E-32
ENSMUSG00000053461	ENSG00000143512	Hhipl2	40.46304805	4.046428715	0.33358291	12.13020389	7.30673E-34	2.99576E-30
ENSMUSG00000067038	0	Rps12-ps3	151.9579028	-10.67584039	1.076232198	-9.919644114	3.41973E-23	1.12167E-19
ENSMUSG00000034135	ENSG00000160584	Sik3	10498.35545	-0.795282085	0.08615539	-9.230787362	2.6865E-20	7.34309E-17
ENSMUSG00000020932	ENSG00000131095	Gfap	5951.569115	1.136866421	0.129537039	8.776381088	1.68819E-18	3.95519E-15
ENSMUSG00000026888	ENSG00000115290	Grb14	889.8721773	-0.683984694	0.083252866	-8.215749545	2.10843E-16	4.32228E-13
ENSMUSG00000051506	ENSG00000128815	Wdfy4	144.7033903	1.733271505	0.229861546	7.540502247	4.68165E-14	8.531E-11
ENSMUSG00000022797	ENSG00000072274	Tfrc	4034.300693	0.450603522	0.062614244	7.196501887	6.17769E-13	1.01314E-09
ENSMUSG00000057457	ENSG00000102174	Phex	258.7957116	-1.134712886	0.162650822	-6.976373502	3.02897E-12	4.51592E-09
ENSMUSG00000046805	ENSG00000197629	Mpeg1	1975.644017	0.487183703	0.072673391	6.703742586	2.03148E-11	2.77636E-08
ENSMUSG00000030579	ENSG00000011600	Tyrobp	602.3784542	0.532640064	0.079879386	6.668054043	2.59217E-11	3.27013E-08
ENSMUSG00000028268	ENSG00000162654	Gbp3	313.5941014	0.967908171	0.146732567	6.596409996	4.21233E-11	4.93444E-08
ENSMUSG00000015340	ENSG00000165168	Cybb	58.94096367	2.22309459	0.344177062	6.459159642	1.05286E-10	1.15113E-07
ENSMUSG00000021091	ENSG00000196136	Serpina3n	425.3715293	1.482297828	0.23077303	6.423184849	1.33452E-10	1.36789E-07
ENSMUSG00000021474	ENSG00000164466	Sfxn1	2521.288773	-0.333863035	0.052257838	-6.388764821	1.67231E-10	1.61329E-07
ENSMUSG00000015090	ENSG00000107317	Ptgds	5789.143085	-0.88856443	0.139740782	-6.358662236	2.03518E-10	1.85428E-07
ENSMUSG00000022101	ENSG00000158815	Fgf17	42.21149058	1.950138163	0.309049529	6.310115302	2.78828E-10	2.37052E-07
ENSMUSG00000073411	0	H2-D1	1349.481713	0.597495641	0.094772576	6.30452046	2.89088E-10	2.37052E-07
ENSMUSG00000102758	ENSG00000177694	Naaladl2	139.1059745	-1.320517285	0.209763605	-6.295264067	3.06877E-10	2.39656E-07
ENSMUSG00000050063	ENSG00000167755	Klk6	299.5961798	-1.558071837	0.250277894	-6.225367383	4.80429E-10	3.58138E-07
ENSMUSG00000004562	ENSG00000165801	Arhgef40	1228.62725	0.451935417	0.072978649	6.192707375	5.91395E-10	4.2169E-07
ENSMUSG00000030789	ENSG00000140678	Itgax	63.25287061	3.126384466	0.508551499	6.147626092	7.86512E-10	5.3745E-07
ENSMUSG00000035969	ENSG00000198853	Rusc2	3980.27078	-0.389245398	0.066591687	-5.845255142	5.05792E-09	3.318E-06
ENSMUSG00000038115	ENSG00000047617	Ano2	623.3635416	-0.586098238	0.100478129	-5.833092685	5.44093E-09	3.43197E-06
ENSMUSG00000079293	ENSG00000172243	Clec7a	53.32076573	2.192222511	0.38038189	5.763214725	8.25267E-09	4.98679E-06
ENSMUSG00000004341	ENSG00000198704	Gpx6	165.3058095	-0.988027533	0.171593555	-5.757952452	8.51403E-09	4.98679E-06
ENSMUSG00000004894	ENSG00000132702	Hapln2	961.9795489	-0.788322834	0.138434283	-5.694563647	1.23688E-08	6.99476E-06
ENSMUSG00000008682	0	Rpl10	7639.580295	-0.244142556	0.04310369	-5.66407548	1.47819E-08	8.08079E-06
ENSMUSG00000030270	ENSG00000144550	Cpne9	494.5959881	-0.674166038	0.119649459	-5.634509719	1.75557E-08	9.28753E-06
ENSMUSG00000000682	ENSG00000169442	Cd52	83.97233653	1.446043967	0.256961328	5.627477009	1.82865E-08	9.37181E-06
ENSMUSG00000014846	ENSG00000159713	Tppp3	1437.551397	-0.423842312	0.075594935	-5.606755452	2.06155E-08	1.02453E-05
ENSMUSG00000030592	ENSG00000196218	Ryr1	6644.488782	-0.397286223	0.071301458	-5.571922844	2.51943E-08	1.21525E-05
ENSMUSG00000073418	ENSG00000224389	C4b	2121.983265	0.464853465	0.084024511	5.532355506	3.15959E-08	1.47786E-05
ENSMUSG00000056812	ENSG00000177511	St8sia3	18549.03557	-0.445912847	0.0806684	-5.52772646	3.24407E-08	1.47786E-05
ENSMUSG00000060802	ENSG00000166710	B2m	1975.169388	0.456858384	0.082857101	5.513810885	3.51146E-08	1.55643E-05
ENSMUSG00000022766	ENSG00000099937	Serpind1	101.0390303	-1.13690925	0.21578816	-5.268635919	1.37441E-07	5.93168E-05
ENSMUSG00000043670	ENSG00000176490	Diras1	3707.067604	0.375073414	0.071389838	5.253876779	1.48931E-07	6.26272E-05
ENSMUSG00000031841	ENSG00000140945	Cdh13	5013.140533	-0.229855011	0.044366474	-5.180826639	2.20905E-07	8.93744E-05
ENSMUSG00000068129	ENSG00000077984	Cst7	14.59996189	3.417027139	0.659823199	5.178701118	2.23436E-07	8.93744E-05
ENSMUSG00000003282	ENSG00000181690	Plag1	360.1679172	-0.55072404	0.108986204	-5.053153707	4.34574E-07	0.000169691
ENSMUSG00000015966	ENSG00000056736	Il17rb	127.6216178	0.986729663	0.196752848	5.015071824	5.30137E-07	0.000202192
ENSMUSG00000039960	ENSG00000116574	Rhou	1066.4391	-0.399479955	0.080412366	-4.967892042	6.76846E-07	0.000252279
ENSMUSG00000073680	ENSG00000205116	Tmem88b	4121.568638	-0.495271265	0.100141566	-4.945711201	7.58664E-07	0.000276491
ENSMUSG00000030683	ENSG00000174938	Sez6l2	10338.28999	-0.38240199	0.077919865	-4.907631579	9.21828E-07	0.000328652
ENSMUSG00000079235	ENSG00000244607	Ccdc13	265.9759579	-0.711929885	0.145472861	-4.89390174	9.88562E-07	0.000340992
ENSMUSG00000024479	ENSG00000147676	Mal2	3726.942808	-0.227921201	0.046590337	-4.892027292	9.98026E-07	0.000340992
ENSMUSG00000040952	ENSG00000105372	Rps19	4734.336273	-0.235492705	0.048269001	-4.878756564	1.06757E-06	0.000357308
ENSMUSG00000020454	ENSG00000184708	Eif4enif1	2136.192585	0.66058104	0.136083457	4.854234714	1.20853E-06	0.000396396
ENSMUSG00000035967	ENSG00000165359	Ints6l	4784.877191	-0.251916454	0.052215052	-4.824594529	1.40288E-06	0.000451123
ENSMUSG00000101523	0	Csnk2a1-ps3	223.3818209	1.57768632	0.329201295	4.792466926	1.64743E-06	0.000519574
ENSMUSG00000020758	ENSG00000132470	Itgb4	854.8782812	-0.9203273	0.192686998	-4.776281285	1.78567E-06	0.000552546
ENSMUSG00000034855	ENSG00000169245	Cxcl10	20.72367352	2.625438312	0.555174335	4.72903401	2.25591E-06	0.000685127
ENSMUSG00000030744	0	Rps3	7844.036018	-0.191114038	0.04054164	-4.714018484	2.42879E-06	0.00072422
ENSMUSG00000095325	ENSG00000257446	Zfp870	434.2434129	-0.467402124	0.09972337	-4.68698684	2.77257E-06	0.000811966
ENSMUSG00000001986	ENSG00000125675	Gria3	9245.683644	-0.147513119	0.031664535	-4.658622678	3.18332E-06	0.000905927
ENSMUSG00000030317	ENSG00000157150	Timp4	997.6022332	0.345863438	0.074262703	4.657296635	3.20389E-06	0.000905927
ENSMUSG00000061232	0	H2-K1	939.7215803	0.412512523	0.08888964	4.640726665	3.47186E-06	0.000954621
ENSMUSG00000024197	ENSG00000105355	Plin3	642.1187945	-0.616607062	0.132903745	-4.639501018	3.49251E-06	0.000954621
ENSMUSG00000038173	ENSG00000164303	Enpp6	955.5697265	-0.57527448	0.124434508	-4.623110508	3.78028E-06	0.001003804
ENSMUSG00000024810	ENSG00000137033	Il33	1765.96449	-0.531289642	0.114940241	-4.622311864	3.79487E-06	0.001003804
ENSMUSG00000033910	ENSG00000164116	Gucy1a1	7440.07714	-0.25975078	0.056356281	-4.609083096	4.04449E-06	0.001046802
ENSMUSG00000041133	ENSG00000072501	Smc1a	3593.516896	-0.208444385	0.045245085	-4.60700611	4.08508E-06	0.001046802
ENSMUSG00000060036	ENSG00000100316	Rpl3	17567.70919	-0.149989424	0.032875191	-4.562389484	5.05747E-06	0.001276039
ENSMUSG00000074896	ENSG00000119917	Ifit3	418.0879261	1.057789239	0.232196205	4.555583665	5.22403E-06	0.001281088
ENSMUSG00000036777	ENSG00000011426	Anln	2248.617738	-0.673469109	0.147956771	-4.551796473	5.31898E-06	0.001281088
ENSMUSG00000025915	ENSG00000104205	Sgk3	1789.113205	-0.253254651	0.05565938	-4.550080367	5.36254E-06	0.001281088
ENSMUSG00000000308	ENSG00000223572	Ckmt1	5464.003029	0.203690161	0.044776832	4.54900782	5.38994E-06	0.001281088
ENSMUSG00000020460	0	Rps27a	5413.199613	-0.21291826	0.046965223	-4.533530271	5.80059E-06	0.001358997
ENSMUSG00000020458	ENSG00000115310	Rtn4	25647.30061	-0.228232847	0.050415564	-4.527031473	5.9818E-06	0.001381712
ENSMUSG00000029063	ENSG00000008130	Nadk	2577.34454	0.301155025	0.067555783	4.457871878	8.27774E-06	0.001885484
ENSMUSG00000022514	ENSG00000196083	Il1rap	1546.772921	-0.279522091	0.062870679	-4.445984938	8.74901E-06	0.001965531
ENSMUSG00000015314	ENSG00000162739	Slamf6	29.74187242	1.856045405	0.420995381	4.408707291	1.03989E-05	0.002304631
ENSMUSG00000014226	ENSG00000116161	Cacybp	2035.722091	0.353863821	0.080398003	4.401400634	1.07554E-05	0.002351854
ENSMUSG00000029797	0	Sspo	343.8666062	-0.504680731	0.115100448	-4.384698218	1.16147E-05	0.002506323
ENSMUSG00000034336	ENSG00000148798	Ina	5339.836469	0.311684415	0.071221433	4.376272701	1.20726E-05	0.002571306
ENSMUSG00000024186	ENSG00000076344	Rgs11	2175.996853	-0.397474862	0.091077066	-4.364159707	1.27612E-05	0.002683131
ENSMUSG00000022594	ENSG00000180155	Lynx1	16086.24018	0.246366648	0.056630734	4.350405378	1.35886E-05	0.002820926
ENSMUSG00000020620	ENSG00000141338	Abca8b	1407.950724	-0.320793973	0.073955224	-4.337678353	1.43996E-05	0.002951911
ENSMUSG00000036905	ENSG00000173369	C1qb	2020.493329	0.363671735	0.084167369	4.320816215	1.55453E-05	0.003137164
ENSMUSG00000100862	0	Gm10925	255563.9227	-0.699186689	0.161892599	-4.318830461	1.56858E-05	0.003137164
ENSMUSG00000028081	ENSG00000145425	Rps3a1	9611.025534	-0.139147413	0.032278321	-4.310862768	1.62619E-05	0.003213191
ENSMUSG00000051041	ENSG00000183801	Olfml1	498.0601481	-0.532435257	0.123628427	-4.306738117	1.6568E-05	0.003234696
ENSMUSG00000046818	ENSG00000145358	Ddit4l	1145.751487	-0.609008242	0.141770733	-4.295726118	1.74122E-05	0.003347317
ENSMUSG00000078249	ENSG00000137309	Hmga1b	60.71670666	-7.810315739	1.818915957	-4.293939866	1.7553E-05	0.003347317
ENSMUSG00000033706	ENSG00000135632	Smyd5	2273.704046	-0.247438898	0.057925815	-4.271651564	1.94031E-05	0.003657588
ENSMUSG00000026202	ENSG00000127824	Tuba4a	14682.40999	0.204968638	0.04809701	4.261567135	2.02998E-05	0.003783151
ENSMUSG00000047428	ENSG00000171462	Dlk2	515.733408	0.530424327	0.124948706	4.24513663	2.1846E-05	0.00402556
ENSMUSG00000002147	ENSG00000166888	Stat6	794.1212176	0.557179902	0.131647649	4.232357398	2.31255E-05	0.004213421
ENSMUSG00000051067	ENSG00000220008	Lingo3	4677.051826	0.355168692	0.083966181	4.229901694	2.33793E-05	0.004213421
ENSMUSG00000036896	ENSG00000159189	C1qc	1785.535421	0.305957879	0.072488059	4.220803879	2.43433E-05	0.004311901
ENSMUSG00000052798	ENSG00000111581	Nup107	658.0288863	-0.501108105	0.118751551	-4.21980261	2.44516E-05	0.004311901
ENSMUSG00000035004	ENSG00000140749	Igsf6	47.94900531	1.178480363	0.279464532	4.216922818	2.47659E-05	0.004320854
ENSMUSG00000018930	ENSG00000276070	Ccl4	13.43442109	2.069958535	0.491618519	4.210497479	2.54809E-05	0.004398807
ENSMUSG00000000088	ENSG00000178741	Cox5a	3163.533362	0.179284111	0.042720801	4.196646705	2.70896E-05	0.004627807
ENSMUSG00000038526	ENSG00000118298	Car14	734.7513269	-0.477418971	0.114092973	-4.184473066	2.85828E-05	0.004832562
ENSMUSG00000028464	ENSG00000198467	Tpm2	616.9698363	0.724873437	0.173401427	4.180319904	2.91099E-05	0.004871457
ENSMUSG00000046607	ENSG00000135116	Hrk	2384.319009	-0.322406628	0.077375011	-4.166805585	3.08898E-05	0.00507615
ENSMUSG00000051054	ENSG00000177992	1700014D04Rik	71.16925309	-1.893054615	0.454368117	-4.166345622	3.09521E-05	0.00507615
ENSMUSG00000032558	ENSG00000113971	Nphp3	624.2763618	-2.058765752	0.495190222	-4.15752505	3.21714E-05	0.005223871
ENSMUSG00000024925	ENSG00000172922	Rnaseh2c	172.9350819	0.664305709	0.160176045	4.147347442	3.36349E-05	0.005407971
ENSMUSG00000041426	ENSG00000198130	Hibch	600.5399071	0.404520637	0.097975848	4.128779123	3.64695E-05	0.005806787
ENSMUSG00000026335	ENSG00000145730	Pam	6234.680469	-0.199893689	0.048507056	-4.120919849	3.77363E-05	0.00595072
